nct_id,phase,why_stopped,start_date,category,phase_clean
NCT02310581,PHASE3,Business decision,2015-02-24,strategy/business,PHASE3
NCT02306811,PHASE2,Study discontinued based on planned interim analysis of the primary endpoint. Not linked to any safety concern.,Feb-15,safety,PHASE2
NCT03733119,PHASE2,Slow accrual,2018-11-13,unknown,PHASE2
NCT03707028,"PHASE1, PHASE2",Terminated after completion of Part 1 due to a change in research plan.,2018-10-01,unknown,PHASE2
NCT03732534,PHASE2,Study stopped early due to investigational drug not meeting primary endpoint in the main study T-Force GOLD (NBI-98854-TS2003); no safety concerns identified.,2018-10-17,safety,PHASE2
NCT06215144,"PHASE2, PHASE3",Slow enrollment,2024-01-25,enrollment,PHASE3
NCT06317285,PHASE2,"The study met futility criteria at pre-planned interim analysis, showing no clinical efficacy of the investigational drug. Based on the lack of efficacy at the interim data review, the sponsor decided to terminate the study.",2024-04-04,efficacy,PHASE2
NCT03065374,"PHASE1, PHASE2",Study was stopped due to slow recruitment. All subjects completed their participation including follow up period per protocol. No safety issues.,2017-09-01,safety,PHASE2
NCT03712618,PHASE2,Due to recruitment difficulty,2019-06-10,enrollment,PHASE2
NCT02585622,"PHASE1, PHASE2",IMP NEPHSTROM ORBECEL-M is expired and additional extension is not feasible. Low recruitment rate at Birmingham center.,2017-12-11,enrollment,PHASE2
NCT05655520,PHASE3,Internal company decision,2022-12-14,strategy/business,PHASE3
NCT06860373,PHASE3,Unable to recruit,2023-06-27,enrollment,PHASE3
NCT03007420,PHASE3,Study terminated prematurely by the study Principal Investigator due to slow patient recruitment.,2018-01-02,enrollment,PHASE3
NCT05172141,"PHASE1, PHASE2","Due to the company's development strategy adjustment, Innovant Biologics decided not to continue this study after consultation with investigators.",2021-12-31,strategy/business,PHASE2
NCT02326350,PHASE2,Slow recruitment,2015-02-06,enrollment,PHASE2
NCT02448810,PHASE2,Based on overall benefit-risk assessment.,2015-06-15,unknown,PHASE2
NCT05366842,PHASE2,The sponsor was unable to produce and provide the study material (stravix),2022-04-01,unknown,PHASE2
NCT02033941,PHASE2,difficulty with enrollment due to pandemic.,2018-07-03,enrollment,PHASE2
NCT04393454,PHASE2,Following discussion with the Cancer Center the PI elected to terminate the study.,2020-11-16,unknown,PHASE2
NCT02379390,PHASE2,Unsatisfactory patient accrual,2015-06-17,enrollment,PHASE2
NCT03391856,"PHASE2, PHASE3",protocol changed,2018-03-01,operational,PHASE3
NCT03733691,PHASE2,Insufficient enrollment,2019-03-01,enrollment,PHASE2
NCT03417882,PHASE2,Recruitment rate too slow,2019-01-03,enrollment,PHASE2
NCT02545127,PHASE2,The trial was prematurely terminated. Termination was not because of safety concerns but due to slow recruitment.,2021-05-28,safety,PHASE2
NCT02443337,PHASE2,The study stopped due to lack of efficacy.,Jul-15,efficacy,PHASE2
NCT03422679,"PHASE1, PHASE2",business reason,2017-12-05,strategy/business,PHASE2
NCT04956042,"PHASE1, PHASE2",Discontinued,2021-08-27,unknown,PHASE2
NCT06360094,PHASE2,Sponsor decision,2024-08-28,strategy/business,PHASE2
NCT02229266,PHASE2,low recruitment rate,Sep-15,enrollment,PHASE2
NCT02978222,PHASE2,Futility analysis did not support continuation of the trial,2017-07-20,unknown,PHASE2
NCT03488251,PHASE2,Sponsor decision,2018-08-20,strategy/business,PHASE2
NCT04498273,PHASE3,an event rate lower than anticipated,2020-09-07,unknown,PHASE3
NCT03517566,PHASE2,Lack of efficacy,2018-11-14,efficacy,PHASE2
NCT02584829,"PHASE1, PHASE2",Terminated due to loss in funding,2015-11-06,unknown,PHASE2
NCT02630472,"PHASE1, PHASE2",Institutional decision,Oct-15,unknown,PHASE2
NCT04483544,PHASE2,Poor accrual related to change in standard of care treatment for this population.,2020-12-03,unknown,PHASE2
NCT02707198,PHASE2,Study was not feasible to complete at study site,Nov-15,unknown,PHASE2
NCT05141357,PHASE2,Slow Recruitment,2022-02-15,enrollment,PHASE2
NCT05370521,PHASE2,The study was discontinued early by the sponsor,2022-05-15,unknown,PHASE2
NCT03041116,PHASE3,The study was terminated since fosmetpantotenate did not show statistically significant effects or clinical benefits during the double-blind period.,2017-07-17,unknown,PHASE3
NCT05502367,"PHASE1, PHASE2",Study terminated early due to Antiva business decision.,2022-09-10,strategy/business,PHASE2
NCT03212716,PHASE2,rate of inclusion and study affected by covid-19 epidemic,2017-12-23,unknown,PHASE2
NCT04996004,PHASE2,Pfizer decided to terminate the study for administrative reasons. The termination was neither due to safety concerns nor a request from the regulatory authorities.,2021-06-22,safety,PHASE2
NCT02862600,PHASE2,Lack of Efficacy,2016-08-01,efficacy,PHASE2
NCT03761134,PHASE3,Sanofi ended collaboration with Lexicon for Sotagliflozin. In China no regulatory pathway to transfer sponsorship during the conduct of ongoing studies.,2018-11-30,unknown,PHASE3
NCT02455167,PHASE3,Study stopped due to low accrual and availability of other treatment options,May-15,unknown,PHASE3
NCT04405271,PHASE3,Vaccine availability precluded further recruitment,2020-07-31,enrollment,PHASE3
NCT03150004,PHASE2,No longer have funding support to complete the pharmacogenetics component.,2017-06-14,safety,PHASE2
NCT05168475,PHASE2,NIHR withdrawal of funding,2021-07-14,unknown,PHASE2
NCT04588792,"PHASE2, PHASE3",Lack of recruitment due to decline in critically ill Covid-19 patients,2021-04-16,enrollment,PHASE3
NCT04349371,PHASE2,Low enrollment.,2020-04-21,enrollment,PHASE2
NCT03340909,PHASE2,Stopped because of COVID 19 pandemic,2018-02-02,unknown,PHASE2
NCT03361228,"PHASE1, PHASE2",Study was terminated early based on emerging data with epacadostat and pembrolizumab.,2018-03-01,unknown,PHASE2
NCT02718300,PHASE2,A business decision was made to discontinue further enrollment. There were no safety concerns that contributed to this decision.,2017-02-08,safety,PHASE2
NCT05151471,PHASE3,Futility Analysis of parent study MT-1186-A02 was met.,2022-01-11,unknown,PHASE3
NCT04604132,"PHASE1, PHASE2",Terminated prematurely for administrative reasons not related to patient safety.,2020-10-06,safety,PHASE2
NCT02449681,PHASE2,Lack of efficacy,Aug-15,efficacy,PHASE2
NCT05983367,PHASE2,"At the time of the primary analysis, results did not meet the primary endpoint",2023-10-10,unknown,PHASE2
NCT02967692,PHASE3,Sponsor decision,2017-02-17,strategy/business,PHASE3
NCT03810911,PHASE2,The trial was stopped because of inability to reach target sample size.,2021-01-04,unknown,PHASE2
NCT04940871,PHASE2,"Only one patient was enrolled, who who later withdrew the consent. They decided not to contunie the study.",2021-11-25,enrollment,PHASE2
NCT02633644,PHASE2,The company shut down,Sep-15,unknown,PHASE2
NCT04055012,PHASE2,Funding closed.,2020-01-07,unknown,PHASE2
NCT04922957,PHASE2,strategic reprioritization,2021-09-01,unknown,PHASE2
NCT03440411,PHASE3,Low enrollment,2016-02-18,enrollment,PHASE3
NCT03886493,PHASE2,Low accrual due to COVID-19 pandemic.,2019-08-28,unknown,PHASE2
NCT02730793,PHASE2,terminated due to an inability to recruit study subjects,Jan-17,enrollment,PHASE2
NCT03666728,PHASE2,changes in the R\&D strategy,2018-11-30,strategy/business,PHASE2
NCT06113328,PHASE2,Business Reasons,2023-11-27,strategy/business,PHASE2
NCT05149807,"PHASE2, PHASE3",R\&d strategy adjustment,2022-01-26,strategy/business,PHASE3
NCT04372706,"PHASE1, PHASE2","Sponsor terminated study during expansion on 11/30/22. RTX-240 was well-tolerated in multiple indications, combinations, and dose levels (69pts). No DLTs, related deaths or SAEs were reported. RTX-240 cleared circulation rapidly.",2020-05-06,unknown,PHASE2
NCT04668833,PHASE2,\<75% participation,2020-09-29,unknown,PHASE2
NCT02314052,"PHASE1, PHASE2",Sponsor decision,2015-01-27,strategy/business,PHASE2
NCT03652571,PHASE3,"The inclusion of participants went more difficult than initially thought. Preliminary analysis showed that the difference between the groups was great enough to draw conclusions from it, so the trial is terminated prematurely.",2018-09-01,unknown,PHASE3
NCT04325698,PHASE3,The study was terminated as part of the decision by Pfizer to halt its biosimilars programs in China.,2020-06-11,unknown,PHASE3
NCT02801487,"PHASE1, PHASE2",Slow accrual of patients.,Sep-15,enrollment,PHASE2
NCT04984616,PHASE2,The recruitment rate in all centers was extremely low. The number of participants failed to reach a statistically significant minimum.,2021-10-12,enrollment,PHASE2
NCT02080364,PHASE3,Not due to safety but due to a lack of efficacy at the 5 mg azeliragon dose.,Apr-15,efficacy,PHASE3
NCT04217447,PHASE3,"The sponsor's decision to stop the study follows the DSMB's recommendations (end of enrolment and experimental treatment, post-treatment/end-of-study visit within 3 months of stopping treatment), regarding the benefit-risk balance.",2020-05-25,unknown,PHASE3
NCT02454855,PHASE3,The study stopped for futility after the DSMB.,Jul-15,unknown,PHASE3
NCT04186247,PHASE2,The DSMB concluded that feasibility endpoints were reached in time for Week 4 but no participants receiving standard of care dietary treatment could be randomized based on the at-risk of the microbiome signature.,2021-08-13,unknown,PHASE2
NCT03841448,PHASE2,Study was terminated early having identified clinically meaningful magnitude of proteinuria reduction due to cemdisiran (study goal). Participants completed DBT period\&were in OLE period. Sponsor had no concerns with safety\&integrity of participants.,2019-09-30,safety,PHASE2
NCT02398578,"PHASE1, PHASE2","Company closed May 1, 2019",Feb-15,unknown,PHASE2
NCT06964165,PHASE2,The study stopped after meeting pre-specified futility criteria,2022-04-14,unknown,PHASE2
NCT04765709,PHASE2,Low enrolment rate,2021-09-24,unknown,PHASE2
NCT04157036,PHASE3,"COVID halted recruitment for 2 years. A majority of patients eligible for the study had already taken preoperative analgesics, which disqualified them for the study.",2020-02-01,enrollment,PHASE3
NCT03870334,PHASE2,Decision of Landos Biopharma (not related to safety or efficacy),2021-05-05,efficacy,PHASE2
NCT03844932,PHASE2,The Sublimity Board of Directors carefully evaluated the IA data: the 9.6% treatment remission difference for 75mg BID vs placebo (due to an increase in placebo response rate) was determined not sufficient to continue to fund the study,2019-01-24,unknown,PHASE2
NCT04771299,PHASE3,Research support no longer available.,2021-07-07,unknown,PHASE3
NCT04329195,PHASE3,insufficient recrutment,2020-04-09,unknown,PHASE3
NCT02772081,PHASE3,Sponsor decision,2021-05-18,strategy/business,PHASE3
NCT03181581,PHASE2,because the study had to be redesigned and restarted as clinical device study,2017-03-01,unknown,PHASE2
NCT03567616,PHASE2,"Following results of the primary progression-free survival analysis from Study NCT02755597, company-sponsored MM studies were placed on partial clinical hold (PCH). Sponsor did not pursue release of the PCH for this study.",2018-10-18,unknown,PHASE2
NCT04808362,"PHASE1, PHASE2",Phase 1completed; sponsor decided to change strategy to a combination study,2021-04-28,strategy/business,PHASE2
NCT03955146,PHASE3,Study did not meet its primary endpoint.,2019-06-18,unknown,PHASE3
NCT02569788,"PHASE1, PHASE2",Slow accrual of patients.,Sep-15,enrollment,PHASE2
NCT05356403,PHASE3,Corporate decision to discontinue work in advanced chronic kidney disease,2022-08-26,unknown,PHASE3
NCT05286827,PHASE2,The study was terminated due to low accrual and insufficient efficacy seen in first few participants treated.,2023-12-14,efficacy,PHASE2
NCT04732286,PHASE3,The study was completed as pre-specified in the protocol. Study was terminated only for participants who were in the study even after 24 months of follow-up as specified in the protocol.,2021-05-04,operational,PHASE3
NCT06137183,PHASE2,"Based on a futility analysis, which suggested that the Moonglow study was unlikely to meet its primary endpoint.",2024-05-01,unknown,PHASE2
